CUI,freq
C0439375,17
C4552983,9
C0237607,11
C0596545,10
C1292781,1
C0010290,6
C0439339,11
C0523584,4
C0027627,21
C0175668,20
C0063041,2
C1704311,3
C0086542,1
C0034787,15
C1622222,15
C1452534,34
C4284014,29
C0455708,3
C0235974,1
C0346647,1
C2984259,1
C3272375,9
C0337920,8
C0226003,1
C0003850,12
C0004153,23
C0043128,5
C0022271,18
C0239312,1
C0004340,13
C0037712,35
C0200638,51
C0034642,7
C0445022,12
C0021775,4
C0311395,3
C1456822,3
C0281991,7
C0418986,4
C0585943,12
C1519269,2
C4528314,6
C0332181,5
C2936643,2
C0031705,1
C0080014,1
C3714498,1
C0428460,4
C4505437,1
C0205174,2
C2121434,1
C0185003,8
C1521802,8
C1881378,6
C2826775,6
C0041199,16
C4049864,14
C0017890,13
C2827928,4
C0523677,13
C0025124,1
C0035204,3
C0035242,3
C1515884,1
C0740304,12
C0015179,7
C0596197,4
C0016157,2
C2348354,3
C0005902,2
C0167117,7
C0850624,15
C0449244,12
C1549488,31
C1561533,31
C0439294,23
C0456615,23
C3869582,3
C0439544,11
C1704787,11
C3258257,9
C0557651,76
C2603343,76
C2348561,6
C0014467,43
C0018821,6
C0524727,4
C0015127,71
C1314792,29
C1524003,69
C1444637,26
C0279025,9
C4284302,26
C1947933,23
C0010294,39
C1561535,39
C1864389,10
C1882368,10
C0441833,101
C0687744,95
C1519504,95
C1552839,21
C1705428,95
C1705429,95
C0150312,42
C0332468,1
C0349384,1
C0392148,13
C3854307,13
C3641272,11
C4050419,10
C0060179,13
C1533076,2
C0013621,27
C0013622,26
C0013658,27
C0039401,26
C0009566,4
C0205145,18
C2825164,12
C1171258,4
C0948089,8
C0488053,22
C0031529,2
C1570610,12
C0034380,5
C0518214,10
C0014245,5
C1283828,34
C1551357,6
C0538927,2
C1883420,2
C0206579,5
C1232424,5
C3641256,2
C0549193,11
C1704769,11
C2350001,11
C0232187,1
C0026193,10
C0205165,10
C0815172,6
C4072694,4
C0005773,9
C3897966,23
C0597484,18
C1272460,21
C1546968,15
C1879645,15
C4049872,15
C4552882,15
C4049765,23
C0007584,23
C0007634,23
C0065058,21
C0125953,8
C1096202,9
C1439335,22
C1319441,1
C2926618,25
C3899446,25
C0016976,2
C1412268,25
C2699274,25
C0649350,2
C0042874,6
C3714803,6
C1997614,4
C0015576,5
C0455533,2
C1704727,2
C0332281,13
C0019693,1
C0037763,1
C2735101,2
C2735102,2
C0229992,7
C2349179,55
C0175659,34
C0222045,1
C0349674,34
C1947916,34
C0681344,1
C0040034,3
C0392386,3
C3642216,35
C3898312,10
C0264677,3
C0026698,2
C2984554,1
C3641833,1
C0032952,22
C0044955,12
C3146286,4
C0037366,6
C0439994,6
C0750523,16
C0745133,6
C1879646,3
C0522082,1
C0022417,11
C0010957,2
C1883709,2
C0392905,11
C1706309,4
C0002007,5
C0003980,27
C0023211,1
C0344420,1
C2828132,1
C0162643,3
C0235828,7
C0521983,3
C1547544,3
C1419129,5
C2698747,5
C0965129,30
C1709323,8
C0948008,35
C4554348,31
C0205999,26
C0999593,16
C1416775,16
C2347489,19
C0051844,1
C1367482,1
C0717758,6
C0439192,13
C0242510,3
C1705654,33
C0869040,3
C2347946,4
C4044947,8
C0202042,30
C0455280,30
C0016107,1
C0020003,3
C0023806,4
C0041403,15
